;2620
计算机科学与技术（微软.Net技术订单培养）;3020
饲料与动物营养;1720
动画（含网络游戏专业方向）;3850
信息传播与多媒体技术;5081
临床医学（日语班）;2991
制药工程专业;8940
艺术设计(服装设计与工程方向）;788
计算机网络技术(北大青鸟网络工程师);3366
电子科学与技术（通信与手机开发）;8299
教育學士學位學前教育;9381
建筑设备工程技术（含建筑水电设计）;7493
戏剧影视美术设计;607
行政管理专业;8949
文物与博物馆学(博物馆学方向);9216
电子设备与运行管理;1865
新型纺织机械技术;4197
经济学（经济与金融）;8306
软件工程（英汉双语授课，学制4年）;2223
汽车营销及技术服务;4402
计算机控制技术(电梯工程技术方向);8192
农村区域经济发展;3813
国际经济与贸易（专科）;3013
智能化楼宇;6410
　　计算机应用技术;4538
影视动画专业;5448
生命科学与技术基地班;2190
统计学（数学科学学院）;1184
艺术类(中外合作办学);2309
物联网工程;213
音乐剧;3591
房地产经营与估价(文理兼收);4679
戏曲表演;699
艺术设计（包装与陈列设计）;8652
新闻采编与制作（专科）;3040
工商企业管理(中小企业管理方向）专业;6052
环境艺术设计（室内设计方向）;7770
文化市场经营与管理专业;6543
服装设计与贸易;7791
农业环境保护技术;4210
道路桥梁工程技术(工程监理方向);7389
环境设计（建筑艺术方向）;5879
动画（游戏设计方向）;2921
物流管理（服务外包）;4266
艺术设计（平面设计方向）;3907
动画(二维动画);7138
生物功能材料;3033
应用英语（机电方向）;1376
经济管理（商务经纪与代理方向）;7633
汽车内燃机;420
斯瓦希里语;1302
会计与金融;3747
服装与服饰设计（本科，文理兼收）;8154
通信工程(微波通信方向);8463
　　金融学专业（四年制本科）;9316
机械制造与自动化（制造技术信息化方向）;8714
园林技术（园林花卉技术方向）;3124
数学与应用数学(免费师范);8009
信息与计算科学专业（商业分析方向）;7866
汽车检测与维修技术（汽车技术服务与营销）;8639
英语教育（师范）;4287
计算机科学与技术（数据库工程师）;7028
法律事务（环境法学）;1990
供用电技术;1604
数控设备应用与维护（580302）;5098
财政学(绩效评价方向);3561
汽车检测与维修技术(汽车营销方向);4160
新能源材料与器件专业（英才班）;5286
　　旅游管理（导游方向）;4553
建筑工程技术专业（省级特色专业、省级精品专业）;6835
工商企业管理(涉外酒店方向);8638
艺术设计(动漫设计与制作方向);6254
音乐学（师范）（本科）;7203
澳洲堪培拉大学;3711
机电技术应用（中专）;4968
财务会计(中澳合作办学);5624
食品科学与工程（师范类）;5339
新闻采编与制作（文理兼收）;4887
软件工程（软件设计方向）;5809
财务管理（三本）;9037
数学类（中外）;3856
交互媒体设计;3692
摄影测量与遥感;1576
汽车运用技术（文理兼招）;3100
文科实验班;47
艺术设计(含会展策划与设计专业方向);3849
测绘;3389
财务管理（高职）;593
机械设计制造及其自动化（轧钢方向);1922
商务英语(翻译方向);7661
新闻学（经济新闻方向）;1479
机械工程其及自动化;2944
市场营销(两年制);9139
市场营销(中外合作办学)(市场营销(营销管理));4010
数学与应用数学（金融数学与金融工程方向）;5346
能源工程及自动化;265
保险学（理财与保险规划方向）;8342
北安普顿大学;3721
铁道通信信号(高速铁路自动控制方向);6567
西餐工艺（韩式、日式餐饮料理方向）;3304
市场营销（网络营销方向）;1348
小学教育（小学英语教育）（师范）;3841
检测技术及应用(公路工程试验与检测);4563
广播电视学（师范类）;6116
食品科学与工程（质量与安全方向）;6252
财务管理专科;9123
种子科学与工程;286
广告学专业（品牌策划与传播方向）;667
工商管理类专业;1523
临床医学（农村订单定向）;8857
精神医学;2986
表演（服装表演）;8536
体闲服务与管理;4714
经济学类(中外);2597
数字艺术设计;3734
计算机科学与技术（专升本）;5786
物流管理（物流商务方向）;1353
英语（水产贸易英语）专业;2664
交通管理;1332
作物生产技术（生态农业技术）;4216
五年制本科临床医学专业;538
舞蹈学专业（舞蹈表演方向）;5314
环境设计;486
电子商务[院级示范专业];1898
财政学;25
安全保卫;824
商务日语：;5012
机电一体化技术(自治区级品牌专业);2390
汉语言（商务秘书方向）;2767
金融学;26
建筑装饰（三年制，中专）;4947
模具设计与制造/市场营销;4034
护理（英语护理方向）（韩语护理方向）;1843
历史学(国学方向）;9096
软件工程专业;980
通信技术（电源方向）;8667
朝鲜语语言文学;5631
金融保险(保险营销方向);8200
应用电子技术(电子信息产品营销方向);7407
临床医学专业（香港中文大学联合培养预备班，“5+3”本硕一体化培养）;6948
国防教育与管理;4717
机械设计制造及其自动化（国际工程）(中德合作）;3436
英语教育（师范）（专科）;7199
安全工程专业（采矿工程方向）;8898
贸易经济（二批）;5398
建筑工程结构;945
电子工程与管理;5168
小学教育（小学语文，师范）（本科）;7196
康复治疗技术;2669
计算机应用技术（单片机方向）;1783
畜牧兽医;770
生物科学类（生物科学、生物技术）;9343
计算机应用技术(物联网应用技术方向);6769
平面设计;5187
金融与保险;9287
国际型卓越法律人才实验班;5257
宠物医学;2418
电气工程及其自动化（三本）;9031
应用英语（商务）（专科）;9257
可视化程序设计;5082
电脑艺术设计(平面设计方向);6766
护理学类（中外台作办学）;6306
汉语（对外汉语方向）;3190
物业管理（本）;8545
材料科学;1260
图形图像制作（影视及平面设计方向）;1851
会计（涉外会计方向）;7969
连锁经营与管理(医疗连锁管理方向);8207
计算机信息管理（高速公路信息化管理方向）;6461
艺术设计（平面艺术设计方向）;2919
图形图像制作（平面设计方向）;3257
财务会计类(国际商务会计);2369
水利水电工程（学制4年）;2284
信息安全（保密技术）;2941
保险实务(保险理赔方向);2674
艺术设计（数码与动漫设计方向）;7544
国际贸易实务(外贸业务经理);3970
社会体育指导与管理专业(高尔夫方向);1550
中药资源与开发（国家特色专业建设点）;3827
物流管理(国际物流、铁路物流、3+2游学制);4164
新闻学（法制新闻方向）;3531
运动保健康复;941
电子信息工程技术（智能电子产品设）;7428
会计与审计（财务审计与税务管理方向）;3132
食品药品监督管理专业;5965
表演（人物形象设计）;4361
商务英语（专科）;3037
化工设备与机械（专科）;7257
会计电算化专业（专科）;5921
电子商务（商务网站设计方向）;4575
艺术设计(动画方向);6161
网络编程;7636
西班牙语（订单培养）专业;1300
艺术学院;999
计算机科学与技术（嵌入式方向）;4746
中国语言文学基地班;235
游戏软件（3G智能手机游戏开发）;7977
风险管理与保险;6751
动画（数字动画艺术方向）;2920
会计（电算会计方向）;6378
电子信息科学;74
土木工程(岩土与地下工程);4443
农艺教育;2046
动漫设计与制作（三维动画方向）;1830
农业机械制造与装配;3376
土建类（中外合作办学）;2879
电子信息实验班;4346
照明艺术;608
应用电子技术专业;1892
环境地质工程技术专业;6841
中马合作商务管理;5488
工商管理（中外课程合作项目）;5816
质量管理工程;4374
建筑工程教育;2479
无机非金属材料工程专业;1242
网络工程（中日合作办学项目）;4621
软件工程（本科）;7172
临床医学（学校卫生保健）;3641
计算机应用技术（视觉传达设计）;818
服装制版与工艺;4007
计算机科学与技术（HND项目计算机网络技术）;8841
计算机辅助设计与制造（理工类）;4849
自动化专业（卓越计划班）;5764
应用心理学（心理健康咨询与教育方向）;1442
表演（戏剧影视方向）;4766
汉语言文学（文化产业管理方向）;2008
艺术设计（装潢）;4493
公共事业管理（中外合作办学）;3833
物流实务与会计―?前途无量的;7525
商务英语（国际物流与货代方向）;6808
英语（英法双语）;7022
作曲;3593
物业管理/园林技术;4055
物理学（物理实验技术）（师范）;3844
